name,color
枯竭,#E41A1C
資源,#E41A1C
危機,#E41A1C
缺乏,#E41A1C
環境,#E41A1C
影響,#E41A1C
方舟,#FFFF33
香江,#FFFF33
紅利,#FFFF33
富國,#FFFF33
思惟,#FFFF33
豬糞,#FFFF33
供給,#FFFF33
金援,#FFFF33
瑞典,#FFFF33
放款,#FFFF33
工總,#FFFF33
周錫瑋,#FFFF33
輪替,#FFFF33
力抗,#FFFF33
急速,#FFFF33
資產,#FFFF33
配置,#FFFF33
多元,#FFFF33
水資源,#FFFF33
類股,#FFFF33
績效,#FFFF33
經理人,#FFFF33
主題,#FFFF33
天然資源,#FFFF33
鎖定,#FFFF33
操盤,#FFFF33
長線,#FFFF33
布局,#FFFF33
抗跌,#FFFF33
組合,#FFFF33
環球,#FFFF33
物料,#FFFF33
趨勢,#FFFF33
理財,#FFFF33
金磚,#FFFF33
德盛,#FFFF33
加碼,#FFFF33
表現,#FFFF33
安聯,#FFFF33
農金,#FFFF33
總經理,#FFFF33
歐債,#FFFF33
海嘯,#FFFF33
希臘,#FFFF33
金融風暴,#FFFF33
糧食,#FFFF33
缺水,#FFFF33
威脅,#FFFF33
末日,#FFFF33
財經,#FFFF33
金融,#FFFF33
話題,#FFFF33
金融危機,#FFFF33
歐美,#FFFF33
極端,#FFFF33
漫遊,#FFFF33
歐元,#FFFF33
債務,#FFFF33
歐元區,#FFFF33
CEO,#FFFF33
示警,#FFFF33
對策,#FFFF33
華爾街,#FFFF33
結束,#FFFF33
央行,#FFFF33
塑毒,#FFFF33
曙光,#FFFF33
魄力,#FFFF33
壓垮,#FFFF33
談話,#FFFF33
複合式,#FFFF33
無能,#FFFF33
房貸,#FFFF33
核四,#FFFF33
所得,#FFFF33
憲政,#FFFF33
當務之急,#FFFF33
變革,#FFFF33
首重,#FFFF33
財務,#FFFF33
極高,#FFFF33
反思,#FFFF33
道德,#FFFF33
空談,#FFFF33
無解,#FFFF33
落實,#FFFF33
致力,#FFFF33
國家,#FFFF33
CSR,#FFFF33
基金會,#FFFF33
自然,#FFFF33
促進,#FFFF33
人才,#FFFF33
效率,#FFFF33
重視,#FFFF33
積極,#FFFF33
工研院,#FFFF33
供應鏈,#FFFF33
科學,#FFFF33
中小企業,#FFFF33
工作,#FFFF33
行銷,#FFFF33
建材,#FFFF33
善用,#FFFF33
IT,#FFFF33
環境保護,#FFFF33
黃曆,#FFFF33
預估,#FFFF33
年來,#FFFF33
成長率,#FFFF33
當地,#FFFF33
前景,#FFFF33
房價,#FFFF33
破產,#FFFF33
GDP,#FFFF33
價格,#FFFF33
不振,#FFFF33
退場,#FFFF33
人民幣,#FFFF33
東協,#FFFF33
IMF,#FFFF33
寬鬆,#FFFF33
指出,#FFFF33
降息,#FFFF33
升值,#FFFF33
近年,#FFFF33
貶值,#FFFF33
短期,#FFFF33
