name,color
災難,#E41A1C
傳染病,#E41A1C
能源,#E41A1C
媒體,#FFFF33
評論,#FFFF33
政治,#FFFF33
浩劫,#FFFF33
地震,#FFFF33
民主,#FFFF33
歷史,#FFFF33
人類,#FFFF33
大災難,#FFFF33
極端,#FFFF33
短評,#FFFF33
書評,#FFFF33
天災,#FFFF33
海嘯,#FFFF33
強震,#FFFF33
末日,#FFFF33
結束,#FFFF33
搶救,#FFFF33
教訓,#FFFF33
病例,#FFFF33
疫情,#FFFF33
HN,#FFFF33
病毒,#FFFF33
首例,#FFFF33
登革熱,#FFFF33
感染,#FFFF33
波拉,#FFFF33
SARS,#FFFF33
MERS,#FFFF33
消毒,#FFFF33
禽流感,#FFFF33
法定,#FFFF33
停課,#FFFF33
傳染,#FFFF33
腸病毒,#FFFF33
隔離,#FFFF33
疾管局,#FFFF33
確診,#FFFF33
撲殺,#FFFF33
防疫,#FFFF33
肆虐,#FFFF33
防治,#FFFF33
流感,#FFFF33
通報,#FFFF33
理賠,#FFFF33
替代,#FFFF33
潔淨,#FFFF33
政策,#FFFF33
生質,#FFFF33
綠能,#FFFF33
油價,#FFFF33
效率,#FFFF33
水資源,#FFFF33
概念,#FFFF33
太陽能,#FFFF33
議題,#FFFF33
再生能源,#FFFF33
環保,#FFFF33
績效,#FFFF33
新能源,#FFFF33
發電,#FFFF33
類股,#FFFF33
題材,#FFFF33
抗跌,#FFFF33
策略,#FFFF33
趨勢,#FFFF33
積極,#FFFF33
