name,color
少子,#E41A1C
高齡,#E41A1C
生活,#E41A1C
品質,#E41A1C
多元,#E41A1C
衝擊,#FFFF33
人口老化,#FFFF33
公立,#FFFF33
招生,#FFFF33
勞動力,#FFFF33
工作,#FFFF33
減招,#FFFF33
銳減,#FFFF33
學生,#FFFF33
指考,#FFFF33
建中,#FFFF33
外勞,#FFFF33
教育部,#FFFF33
師資,#FFFF33
需求,#FFFF33
責任,#FFFF33
時代,#FFFF33
老化,#FFFF33
議題,#FFFF33
現象,#FFFF33
看護,#FFFF33
勞動力,#FFFF33
人口老化,#FFFF33
重要,#FFFF33
重視,#FFFF33
人力,#FFFF33
企業主,#FFFF33
企業,#FFFF33
關注,#FFFF33
機構,#FFFF33
生育率,#FFFF33
職業,#FFFF33
樂活,#FFFF33
便利,#FFFF33
人瑞,#FFFF33
運動,#FFFF33
交通,#FFFF33
民眾,#FFFF33
敬老,#FFFF33
享受,#FFFF33
環遊世界,#FFFF33
品味,#FFFF33
守護,#FFFF33
熟齡,#FFFF33
舒適,#FFFF33
建案,#FFFF33
風格,#FFFF33
飲食,#FFFF33
建築,#FFFF33
講座,#FFFF33
實驗室,#FFFF33
寶格麗,#FFFF33
樂齡,#FFFF33
雷射,#FFFF33
睡眠,#FFFF33
病友,#FFFF33
復健,#FFFF33
試驗,#FFFF33
臨床,#FFFF33
血友病,#FFFF33
美宅,#FFFF33
醫界,#FFFF33
癌患,#FFFF33
抗癌,#FFFF33
病人,#FFFF33
生活品質,#FFFF33
磁磚,#FFFF33
超音波,#FFFF33
抗體,#FFFF33
呼吸,#FFFF33
個人化,#FFFF33
困擾,#FFFF33
出版業,#FFFF33
寢具,#FFFF33
理念,#FFFF33
日商,#FFFF33
跨海,#FFFF33
自主,#FFFF33
信賴,#FFFF33
高階,#FFFF33
百大,#FFFF33
三星,#FFFF33
跨業,#FFFF33
經濟部,#FFFF33
版圖,#FFFF33
營養,#FFFF33
藝術家,#FFFF33
