name,color
糧食,#E41A1C
安全,#E41A1C
兩岸,#E41A1C
兩德,#FFFF33
中韓,#FFFF33
爭端,#FFFF33
蕭萬長,#FFFF33
文明,#FFFF33
進步,#FFFF33
WTO,#FFFF33
經濟學,#FFFF33
南海,#FFFF33
淮南,#FFFF33
江丙坤,#FFFF33
黨綱,#FFFF33
影響力,#FFFF33
基石,#FFFF33
承擔,#FFFF33
清算,#FFFF33
治理,#FFFF33
蔣經國,#FFFF33
稅改,#FFFF33
命運,#FFFF33
不統,#FFFF33
破壞,#FFFF33
流程,#FFFF33
解決方案,#FFFF33
效率,#FFFF33
行政,#FFFF33
環保署,#FFFF33
品質,#FFFF33
標章,#FFFF33
人員,#FFFF33
個資,#FFFF33
驗證,#FFFF33
運用,#FFFF33
工作,#FFFF33
資安,#FFFF33
檢測,#FFFF33
消保官,#FFFF33
IT,#FFFF33
高效,#FFFF33
使用者,#FFFF33
維護,#FFFF33
協議,#FFFF33
對台,#FFFF33
和平,#FFFF33
兩岸關係,#FFFF33
ECFA,#FFFF33
九二,#FFFF33
國共,#FFFF33
北京,#FFFF33
國台,#FFFF33
台海,#FFFF33
交流,#FFFF33
簽署,#FFFF33
對話,#FFFF33
胡錦濤,#FFFF33
基礎,#FFFF33
共識,#FFFF33
中共,#FFFF33
陸媒,#FFFF33
十八,#FFFF33
習近平,#FFFF33
一中,#FFFF33
孫亞夫,#FFFF33
上海,#FFFF33
雙英,#FFFF33
商談,#FFFF33
